Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
ui cheats sims 4,"Informational, Transactional",40500,"0.81,0.81,1.00,0.81,0.66,0.66,0.29,0.66,0.54,0.81,0.66,0.66",26,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
wordscapes cheat,Informational,33100,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.67",19,5.44,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
gta v cheats ps4,Informational,22200,"0.67,0.83,1.00,1.00,0.83,0.83,0.67,0.83,0.83,0.67,0.67,0.54",29,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
sims 4 ui cheats,"Informational, Transactional",14800,"0.81,0.54,0.81,1.00,0.66,0.66,0.29,0.44,0.66,0.66,0.44,0.66",22,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, Related searches"
word chums cheat,Commercial,14800,"0.81,1.00,0.81,1.00,0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.81",26,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
did pepe cheat on iris,Informational,12100,"0.54,0.54,0.24,0.54,0.54,0.54,0.54,1.00,0.24,0.81,0.54,0.04",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
pokemon fire red cheats,"Informational, Commercial",12100,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00",27,0.00,0.00,"Sitelinks, Image, Video, Discussions and forums, Related searches"
wordfeud cheat,"Informational, Commercial",9900,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00",26,0.00,0.00,"Sitelinks, Related searches"
cheat code for emerald,Informational,8100,"0.08,0.02,0.05,0.00,0.66,1.00,0.81,0.54,0.54,0.00,0.05,0.44",14,0.00,0.00,"Sitelinks, Image, Video, Related searches"
cheat code grand theft auto 5 ps4,Informational,8100,"0.00,0.01,0.00,0.00,1.00,1.00,0.66,0.81,0.00,0.00,0.00,0.00",29,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
cheat code pokemon fire red gba,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",16,0.00,0.00,"Sitelinks, Image, Video, Related searches"
cheats fire red pokemon,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",29,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
cheats for pokemon emerald version gba,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",19,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
cheats gba pokemon emerald,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",22,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
emerald version pokemon cheats,"Informational, Transactional",8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",15,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
erome cheating,"Navigational, Transactional",8100,"0.19,0.13,0.23,0.44,0.44,0.66,0.81,0.81,0.81,1.00,1.00,0.81",25,0.00,0.00,Sitelinks
fire red pokemon cheats gba,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",25,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches"
gameboy advance pokemon fire red cheats,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",21,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
gba fire red pokemon cheats,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Discussions and forums, Related searches"
grand theft auto san andreas tank cheat,Informational,8100,"0.00,0.00,0.00,0.00,1.00,0.81,0.54,0.67,0.00,0.00,0.00,0.00",28,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
move objects cheat sims 4,Informational,8100,"0.55,0.55,0.82,1.00,0.82,0.67,0.55,0.67,0.67,0.67,0.55,0.29",22,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
moveobjects cheat sims 4,Informational,8100,"0.54,0.29,0.81,1.00,0.16,0.66,0.54,0.54,0.24,0.81,0.54,0.08",27,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
pokemon cheats pokemon emerald,Informational,8100,"0.03,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",23,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
pokemon emerald advance cheats,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",24,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
pokemon emerald cheat codes,Informational,8100,"0.36,0.36,0.67,1.00,1.00,0.53,0.36,0.44,1.00,0.67,0.81,0.81",28,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
pokemon emerald game cheats,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.07,0.54",23,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
pokemon fire red pokemon cheat code,Informational,8100,"0.07,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.54,0.00,0.05,0.36",29,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
saints row 2 cheats,Informational,8100,"0.55,0.82,0.66,1.00,0.36,0.36,0.30,0.36,0.43,0.43,0.43,0.30",21,0.00,0.00,"Image, Image pack, Video, Discussions and forums, Related searches"
sims 4 move objects cheat,Informational,8100,"0.44,0.67,0.44,0.81,0.23,1.00,0.36,0.36,0.36,0.67,0.23,0.36",24,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
sims 4 relationship cheat,Informational,8100,"0.67,0.67,0.67,0.81,0.67,0.81,0.81,1.00,0.81,0.54,0.67,0.44",26,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
sims 4 skill cheat,Informational,8100,"1.00,1.00,1.00,1.00,1.00,1.00,0.55,0.30,0.18,0.36,0.23,0.07",24,0.01,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
who cheats more men or women,Informational,8100,"0.81,0.81,0.81,0.81,0.67,0.81,0.67,0.81,1.00,1.00,0.81,0.67",20,0.01,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches"
cheat code for pokemon emerald version,Informational,6600,"0.01,0.00,0.01,0.00,0.00,1.00,1.00,0.66,0.66,0.00,0.07,0.54",18,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
cheating gf porn,"Informational, Transactional",6600,"0.12,0.44,1.00,0.54,0.30,0.44,0.30,0.36,0.36,0.23,0.54,0.36",15,0.00,0.00,
cheating hentai,"Informational, Commercial",6600,"1.00,0.81,0.81,0.67,0.28,0.81,0.81,0.44,0.67,0.81,0.11,0.53",15,0.00,0.00,
gta 5 cheats ps4,Informational,6600,"0.67,1.00,0.44,0.78,0.78,1.00,0.22,0.78,0.22,0.22,0.33,0.33",29,0.01,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
palworld cheat engine,Informational,6600,"0.42,0.42,1.00,0.08,0.83,0.83,0.54,0.42,0.83,1.00,0.67,0.54",20,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
pokemon platinum cheats,Informational,6600,"0.67,0.67,0.67,0.67,0.67,0.82,1.00,0.67,0.67,0.67,0.67,0.67",20,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
pokemon unbound cheats,Informational,6600,"0.82,0.66,1.00,0.66,0.82,0.43,0.82,0.55,0.66,0.55,0.66,0.82",14,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
sims 4 cheats skills,"Informational, Transactional",6600,"0.36,0.44,0.82,1.00,0.36,0.55,0.24,0.29,0.44,0.36,0.36,0.20",26,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches"
sims 4 relationship cheats,Informational,6600,"0.44,0.54,1.00,1.00,0.81,0.44,0.12,0.10,0.16,0.30,0.09,0.10",25,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
ui cheats extension,Informational,6600,"0.67,0.82,1.00,0.67,0.82,0.67,0.29,0.44,0.67,1.00,0.55,0.55",27,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Related searches"
word cheat for word chums,Commercial,6600,"0.10,0.02,0.07,0.01,0.01,1.00,1.00,0.66,0.81,0.00,0.08,0.54",26,0.00,0.00,"Sitelinks, Image, Video, Related searches"
cheat codes for grand theft,Informational,5400,"0.04,0.01,0.02,0.00,1.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00",26,0.01,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches"
cheating hentia,"Informational, Commercial",5400,"0.08,0.19,0.00,0.00,0.54,0.66,0.00,0.02,0.00,0.00,1.00,0.02",15,0.00,0.00,
cheating sex,Informational,5400,"1.00,1.00,1.00,0.81,1.00,1.00,1.00,0.81,0.81,1.00,0.81,0.67",29,0.00,0.00,Sitelinks
cheating wordfeud,Commercial,5400,"0.00,0.02,0.16,0.01,1.00,1.00,1.00,1.00,1.00,0.00,0.04,0.66",23,0.00,0.00,"Sitelinks, AI Overview, Image, Related searches"
coldplay cheating couple,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.00",28,0.00,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches"
debug cheat sims 4,Informational,5400,"1.00,0.36,0.81,0.44,0.36,0.81,0.54,0.54,0.66,0.66,0.44,0.44",17,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
emerald cheats,"Informational, Transactional",5400,"0.36,0.16,0.10,0.10,0.66,0.24,0.00,1.00,0.16,0.29,0.54,0.24",28,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
emerald version cheat,"Informational, Transactional",5400,"0.10,0.02,0.01,0.00,0.00,0.00,1.00,0.66,0.66,0.00,0.07,0.54",20,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
firered cheats,Informational,5400,"0.66,0.66,0.82,0.36,1.00,0.07,0.55,0.09,0.30,0.55,0.23,0.09",27,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
gta v cheats xbox one,Informational,5400,"0.24,0.29,0.36,0.44,0.36,0.29,1.00,0.44,0.36,0.36,0.36,0.29",28,0.01,0.04,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
how to enable cheats in minecraft,Informational,5400,"0.28,0.66,0.66,0.81,0.81,0.81,1.00,1.00,1.00,0.54,0.81,0.66",23,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches"
my girlfriend cheated on me with a senior chapter 14,"Informational, Transactional",5400,"0.13,1.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",4,0.00,0.00,"Sitelinks, Video, Related searches"
palworld cheats,Informational,5400,"0.23,1.00,0.62,1.00,0.23,0.38,0.54,0.23,0.62,0.62,0.54,0.38",26,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
pepe cheating on iris,Informational,5400,"1.00,0.01",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask"
pokemon fire and red cheats,Informational,5400,"0.16,0.13,0.13,0.10,0.16,0.13,1.00,0.66,0.81,0.00,0.08,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
pokemon fire red pokemon cheats,"Informational, Transactional",5400,"0.54,0.54,0.81,0.00,0.54,0.36,0.66,0.29,0.24,0.44,0.81,1.00",20,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
pokemon heartgold cheats,Informational,5400,"1.00,0.29,0.54,0.29,0.81,0.66,0.54,0.44,0.44,0.36,0.54,0.54",22,0.00,0.00,"Sitelinks, Image, Video, Related searches"
prizepicks cheat sheet today,Informational,5400,"0.66,0.81,0.81,1.00,1.00,0.81,0.66,0.54,0.44,0.29,0.35,0.66",17,4.44,0.03,"Video, Video carousel, Related searches"
relationship cheat sims 4,Informational,5400,"0.19,0.24,1.00,0.54,0.54,0.54,0.19,0.29,0.19,0.16,0.16,0.24",25,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Related searches"
sims 4 debug cheat,Informational,5400,"0.66,0.55,1.00,0.66,1.00,0.55,0.55,0.83,1.00,1.00,0.66,0.83",24,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sims 4 satisfaction points cheat,Informational,5400,"0.44,0.44,0.28,0.81,1.00,0.23,0.67,0.67,0.54,0.67,0.67,0.44",29,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches"
sims 4 ui cheats extension,"Informational, Transactional",5400,"0.81,0.66,1.00,1.00,0.66,1.00,0.43,0.43,0.81,1.00,0.54,0.66",21,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
skate 3 cheat codes,Informational,5400,"0.81,0.67,0.81,0.81,0.81,1.00,0.67,0.81,0.67,0.81,0.81,0.81",19,0.00,0.00,"AI Overview, Image, Video, Discussions and forums, Related searches"
skill cheats sims 4,Informational,5400,"0.44,1.00,1.00,0.54,0.44,1.00,0.36,0.28,0.54,0.81,0.36,0.36",24,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
subnet cheat sheet,Informational,5400,"0.81,1.00,0.67,0.81,1.00,0.81,0.81,0.67,0.67,0.67,0.67,0.81",25,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
ui cheats extension sims 4,"Informational, Transactional",5400,"0.66,0.81,1.00,0.66,0.66,1.00,0.35,0.44,0.66,1.00,0.66,0.54",23,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
